loss_D_fake,loss_D_real,loss_D,loss_G_GAN,loss_G_L1,loss_G
0.49833,0.55008,0.52421,1.34322,9.86541,11.20863
0.49801,0.54960,0.52380,1.34010,9.88943,11.22953
0.49877,0.54941,0.52409,1.33966,9.87200,11.21167
0.54269,0.59130,0.56699,1.32110,9.74280,11.06390
0.50854,0.56987,0.53921,1.34597,9.62908,10.97505
0.50505,0.55907,0.53206,1.31905,9.54680,10.86586
0.50538,0.54743,0.52640,1.32634,9.57962,10.90595
0.50262,0.55215,0.52738,1.33311,9.66336,10.99647
0.50477,0.55362,0.52920,1.33625,9.70165,11.03790
0.50507,0.55580,0.53043,1.34514,9.70723,11.05236
0.50217,0.55348,0.52783,1.34373,9.73743,11.08117
0.50317,0.55378,0.52848,1.33974,9.72662,11.06637
0.52518,0.58121,0.55319,1.29519,9.69816,10.99335
0.50248,0.55413,0.52830,1.33606,9.52135,10.85740
0.50495,0.55493,0.52994,1.31799,9.45461,10.77261
0.51067,0.55121,0.53094,1.32121,9.48181,10.80302
0.50955,0.55127,0.53041,1.32465,9.54387,10.86852
0.51012,0.55439,0.53225,1.33311,9.56556,10.89867
0.51020,0.55520,0.53270,1.34245,9.56710,10.90954
0.50515,0.55075,0.52795,1.34351,9.58699,10.93051
0.50713,0.55324,0.53019,1.34184,9.57668,10.91852
0.51794,0.56294,0.54044,1.30603,9.51325,10.81928
0.49585,0.54529,0.52057,1.33766,9.36826,10.70592
0.50597,0.54878,0.52738,1.32452,9.31646,10.64098
0.50939,0.54044,0.52492,1.33029,9.35267,10.68296
0.50729,0.54607,0.52668,1.33274,9.41362,10.74636
0.50747,0.54761,0.52754,1.33510,9.43350,10.76860
0.50756,0.54783,0.52769,1.34345,9.43921,10.78266
0.50520,0.54552,0.52536,1.34391,9.45332,10.79723
0.50696,0.54626,0.52661,1.33861,9.44332,10.78192
0.52452,0.57201,0.54826,1.29883,9.36363,10.66245
0.50303,0.56283,0.53293,1.31348,9.25835,10.57184
0.50601,0.55542,0.53071,1.29535,9.19130,10.48665
0.51928,0.55514,0.53721,1.30553,9.25189,10.55742
0.51720,0.55386,0.53553,1.30768,9.30807,10.61575
0.51712,0.55529,0.53621,1.31687,9.33475,10.65163
0.51443,0.55403,0.53423,1.32623,9.33806,10.66429
0.51225,0.55248,0.53236,1.32845,9.34796,10.67641
0.51320,0.55247,0.53283,1.32540,9.33023,10.65563
0.51367,0.57112,0.54240,1.32692,9.27256,10.59948
0.49880,0.55174,0.52527,1.34216,9.14672,10.48887
0.50449,0.55064,0.52757,1.31551,9.09708,10.41258
0.51082,0.54643,0.52863,1.32159,9.12454,10.44613
0.51191,0.54960,0.53076,1.32411,9.16133,10.48544
0.50887,0.55012,0.52949,1.32956,9.17287,10.50243
0.51095,0.55356,0.53226,1.33331,9.18715,10.52046
0.50774,0.55019,0.52897,1.33576,9.19959,10.53535
0.50905,0.55226,0.53065,1.33129,9.19318,10.52447
0.51376,0.57136,0.54256,1.32542,9.17644,10.50187
0.50067,0.55310,0.52688,1.33728,9.03799,10.37527
0.50516,0.55450,0.52983,1.31457,8.96653,10.28110
0.51632,0.55410,0.53521,1.31799,8.98829,10.30627
0.51536,0.55431,0.53484,1.31711,9.02672,10.34384
0.51360,0.55386,0.53373,1.32317,9.05669,10.37986
0.51753,0.55709,0.53731,1.32628,9.07645,10.40273
0.51465,0.55357,0.53411,1.32550,9.08668,10.41218
0.51567,0.55401,0.53484,1.31984,9.08024,10.40008
0.52405,0.57711,0.55058,1.34133,9.08057,10.42190
0.51587,0.56393,0.53990,1.34012,8.99257,10.33270
0.51778,0.55702,0.53740,1.31978,8.91734,10.23713
0.52220,0.55562,0.53891,1.31908,8.93736,10.25645
0.52204,0.55643,0.53924,1.31455,8.96006,10.27461
0.51994,0.55497,0.53746,1.31836,8.97987,10.29823
0.52246,0.55679,0.53963,1.32648,8.99023,10.31671
0.51938,0.55419,0.53679,1.32518,8.99217,10.31735
0.51861,0.55302,0.53582,1.32091,8.97321,10.29411
0.51902,0.56354,0.54128,1.31784,8.95152,10.26937
0.51030,0.54960,0.52995,1.32214,8.81730,10.13944
0.51547,0.54658,0.53102,1.31686,8.74872,10.06558
0.52240,0.54816,0.53528,1.31165,8.77344,10.08509
0.52486,0.55229,0.53858,1.31399,8.81314,10.12713
0.52347,0.55190,0.53768,1.31877,8.83862,10.15739
0.52659,0.55229,0.53944,1.32818,8.83819,10.16637
0.52381,0.54844,0.53613,1.32414,8.83774,10.16188
0.52377,0.54995,0.53686,1.31638,8.81864,10.13502
0.53066,0.56083,0.54575,1.33630,8.74659,10.08289
0.52281,0.55791,0.54036,1.31626,8.66342,9.97967
0.52049,0.55609,0.53829,1.30146,8.61280,9.91426
0.52629,0.55700,0.54164,1.30074,8.63538,9.93612
0.52543,0.55744,0.54144,1.30270,8.66515,9.96786
0.52484,0.55821,0.54153,1.30323,8.70437,10.00759
0.52553,0.55766,0.54160,1.30811,8.71073,10.01884
0.52160,0.55426,0.53793,1.30738,8.71808,10.02546
0.52012,0.55296,0.53654,1.30482,8.70347,10.00828
0.52560,0.56379,0.54469,1.30651,8.68567,9.99218
0.51343,0.55436,0.53390,1.31052,8.53583,9.84636
0.51755,0.55065,0.53410,1.30524,8.49747,9.80271
0.52678,0.55303,0.53991,1.30249,8.54923,9.85172
0.52835,0.55570,0.54203,1.29888,8.58186,9.88074
0.52474,0.55445,0.53959,1.30199,8.60523,9.90722
0.52798,0.55947,0.54373,1.31054,8.61117,9.92171
0.52447,0.55502,0.53974,1.30890,8.61903,9.92793
0.52371,0.55399,0.53885,1.30423,8.59710,9.90133
0.53667,0.57836,0.55751,1.29745,8.65903,9.95648
0.52604,0.56562,0.54583,1.30366,8.50193,9.80559
0.52473,0.55692,0.54082,1.29657,8.40306,9.69963
0.52775,0.55629,0.54202,1.29140,8.42888,9.72028
0.52784,0.55588,0.54186,1.29714,8.46055,9.75769
0.52452,0.55432,0.53942,1.30379,8.48847,9.79226
0.52584,0.55770,0.54177,1.31045,8.48612,9.79658
0.52352,0.55239,0.53796,1.31098,8.49569,9.80667
0.52244,0.55245,0.53745,1.30575,8.48417,9.78992
0.54006,0.55701,0.54854,1.30199,8.55643,9.85843
0.52974,0.55739,0.54357,1.31017,8.39161,9.70178
